characterNumber, startTime, endTime,      x,      y,    z, animation, allowedRoamRange,
              0,     22:00,    5:00,  46674, -29525,  969,     sleep,                0
              0,      5:00,    5:45,  46728, -29881,  974,      idle,                3
              0,      5:45,   17:00,  46859, -28317,  974,      idle,                3
              0,     17:00,   21:00,  50860, -24622,  705,  drinking,                3
              0,     21:00,   22:00,  46728, -29881,  974,      idle,                3
              1,     22:00,    5:00,  47122, -29354,  975,     sleep,                0
              1,      5:00,    5:45,  47122, -29540,  975,      idle,                5
              1,      5:45,   17:00,  44279, -29398,  975,      idle,                3
              1,     17:00,   22:00,  47122, -29540,  975,      idle,                5
              2,     22:00,    5:00,  46843, -29918, 1104,     sleep,                0
              2,      5:00,    5:45,  46558, -29617, 1104,      idle,                3
              2,      5:45,   17:00,  44765, -27770,  955,  drinking,                0
              3,     22:00,    5:00,  82415, -15138, 2401,     sleep,                0
              3,      5:00,    5:45,  82738, -15138, 2401,      idle,                3
              3,      5:45,   17:00,  83164, -15979, 2401,   plowing,               10
              3,     17:00,   22:00,  82763, -15140, 2401,      idle,                3 
              4,     22:00,    5:00,  47092, -29284, 1245,     sleep,                0
              4,      5:00,    5:45,  47092, -29466, 1243,      idle,                3
              4,      5:45,   17:00,  45960, -28722,  953,      idle,                3
              4,     17:00,   22:00,  47092, -29466, 1245,      idle,                3
              5,     22:00,    5:00,  44880, -30118, 1369,     sleep,                3               
              5,      5:00,    5:45,  44650, -30322, 1369,      idle,                3 
              5,      5:45,   17:00,  44504, -30590, 1369,      idle,                3
              5,     17:00,   21:00,  45043, -29835,  947,      idle,                3
              5,     21:00,   22:00,  44650, -30322, 1369,      idle,                3
              6,     22:00,    5:00,  33114, -52375, 1865,     sleep,                0
              6,      5:00,    5:45,  32836, -52625, 1892,      idle,                3
              6,      5:45,   17:00,  11392, -61605, 2790,      idle,                20
              6,     17:00,   22:00,  32836, -52625, 1892,      idle,                3
              7,     22:00,    5:00,  45340, -30348, 1634,     sleep,                0
              7,      5:00,    8:30,  45148, -30500, 1634,      idle,                3
              7,      8:30,   15:00,  46979, -28308,  967,      idle,                3
              7,     15:00,   21:00,  47227, -24678,  482,      idle,                3
              7,     21:00,   22:00,  45148, -30500, 1634,      idle,                3
              8,     22:00,    5:00,  38061, -53858, 2188,     sleep,                0
              8,      5:00,    5:45,  37906, -53940, 2188,      idle,                3 
              8,      5:45,   17:00,  37906, -54308, 2083,      idle,                3
              8,     17:00,   22:00,  37906, -53940, 2188,      idle,                3
              9,     22:00,    5:00,  44875, -30109, 1904,     sleep,                0
              9,      5:00,   10:00,  44722, -30248, 1907,      idle,                3
              9,     10:00,   12:00,  45427, -30096,  956,      idle,                5
              9,     12:00,   15:00,  47663, -24818,  522,      idle,                5
              9,     15:00,   22:00,  44722, -30248, 1907,      idle,                3
             10,     22:00,    5:00,  44851, -30093, 1904,     sleep,                0
             10,      5:00,    5:45,  44572, -30246, 1907,      idle,                3
             10,      5:45,    9:00,  43031, -28211,  985,  guarding,                5
             10,      9:00,   13:00,  46578, -27641,  951,  guarding,                5
             10,     13:00,   17:00,  43275, -27941,  971,  guarding,                5
             10,     17:00,   22:00,  44572, -30246, 1907,      idle,                3
             11,     22:00,    5:00,  17024, -41565,12617,     sleep,                0
             11,      5:00,    5:45,  17076, -41927,12617,      idle,                3
             11,      5:45,   11:00,  17768, -41491,12617,   plowing,                5
             11,     11:00,   17:00,  17053, -39894,12617,   plowing,                5
             11,     17:00,   22:00,  17076, -41927,12617,      idle,                3   
             12,     22:00,    5:00,  45317, -30370, 2315,     sleep,                0
             12,      5:00,   22:00,  45086, -30529, 2315,      idle,                3 
             13,     22:00,    5:00,      0,      0,    0,      idle,                0
             13,      5:00,   22:00,      0,      0,    0,      idle,                0
             14,     22:00,    5:00,  46667, -29519, 1242,     sleep,                0
             14,      5:00,   22:00,  46667, -29737, 1242,      idle,                3 
             15,     19:00,    3:00,  45326, -30372, 1099,     sleep,                0
             15,      3:00,    9:00,  45087, -22796,  956,      idle,                0
             15,      9:00,   19:00,  45155, -30481, 1099,      idle,                3
             16,     19:00,    3:00,  45321, -30359, 1099,     sleep,                0
             16,      3:00,   11:00,  42887, -28203,  996   guarding,                3
             16,     11:00,   19:00,  45098, -30431, 1099,      idle,                3
             17,     22:00,    5:00,  45343, -30360, 2577,     sleep,                0
             17,      5:00,    5:45,  45071, -30483, 2577,      idle,                3 
             17,      5:45,   10:00,  44523, -28809,  950,      idle,                5
             17,     10:00,   17:00,  47606, -24739,  494,      idle,                0
             17,     17:00,   22:00,  45071, -30483, 2577,      idle,                3
             18,     22:00,    5:00,  45322, -30347, 2575,     sleep,                0 
             18,      5:00,    5:45,  45023, -30613, 2577,      idle,                3
             18,      5:45,   17:00,  45213, -29431,  952,      idle,                3
